objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
7368,1950,CA,CDF,SCU,MT. STAKES,0,1950-09-01,,14,,,1488.36657714844,,1,5,12255.7707759788,6023205.89545242
8561,1950,CA,CDF,SHU,BACKBONE #3,0,1950-09-01,,14,,,529.909301757812,,1,278,9160.70814797847,2144466.91546096
11539,1950,CA,USF,TNF,UNION MILL,0,1950-09-01,1950-09-01,6,,90,89.6690979003906,8,1,63,2201.59958963368,362877.954925092
3589,1950,CA,CDF,MEU,STRONG MOUNTAIN,0,1950-09-02,,14,,,20618.951171875,,1,224,49045.0781643094,83441937.4021295
3592,1950,CA,CDF,MEU,TOMKI CREEK,0,1950-09-02,,14,,,1362.45349121094,,1,220,11723.7123585466,5513653.84723775
5162,1950,CA,CDF,MEU,RANCHERIA CREEK,0,1950-09-02,,14,,,6515.263671875,,1,219,27833.1602753022,26366337.2801273
5193,1950,CA,USF,PNF,MILLFORD,0,1950-09-02,,9,,,9185.3154296875,,1,112,31281.1221092103,37171651.6805381
7611,1950,CA,CDF,MEU,N.W.P.RR #20A,0,1950-09-02,,14,,,5185.0830078125,,1,216,20780.9593288505,20983286.2879277
8568,1950,CA,CDF,SHU,RAINBOW,0,1950-09-02,,14,,,25291.767578125,,1,281,54777.9672402185,102352154.681145
12782,1950,CA,USF,LNF,PORCUPINE,0,1950-09-02,,9,,,12633.15625,,1,1,36839.0427141954,51124568.6956922
14691,1950,CA,CDF,SKU,SPRING hILL,0,1950-09-02,,14,,,863.022705078125,,1,0,9655.18154919544,3492528.98040433
592,1950,CA,CDF,SNU,P.G.& E. #4,0,1950-09-03,,14,,,1133.36437988281,,1,398,10275.6861110974,4586563.04872618
2505,1950,CA,CDF,NEU,BEACON,0,1950-09-03,,14,,,407.018371582031,,1,150,6541.26632013066,1647144.90542463
3591,1950,CA,CDF,HUU,TACOMA LUMBER SALES,0,1950-09-03,,14,,,433.510864257812,,1,116,6059.5887386302,1754356.24297524
3594,1950,CA,CDF,MEU,U.S.G.S. FIR,0,1950-09-03,,14,,,886.990478515625,,1,228,8183.14596873115,3589523.21454692
3597,1950,CA,CDF,LNU,WENDELL PAYNE #3,0,1950-09-03,,14,,,568.124938964844,,1,12,8337.35677246322,2299119.97012598
5170,1950,CA,CDF,TUU,STWART MOUNTAIN,0,1950-09-03,,14,,,652.52783203125,,1,791,7125.45394193793,2640686.3663625
6872,1950,CA,CDF,MVU,AGUA TIBIA,0,1950-09-03,,1,,,1941.80859375,,1,0000621B,15652.3108526887,7858220.78717668
7219,1950,CA,CDF,MVU,BOULDER CREEK,0,1950-09-03,,14,,,2995.49975585938,,1,14,17870.2408455388,12122357.392334
